PG.Genes	PG.ProteinAccessions	PG.ProteinDescriptions	PG.ProteinNames	PG.Qvalue	gene_id	gene_chr	gene_start_hg38	gene_end_hg38	strand
NCAM1	P13591	Neural cell adhesion molecule 1	NCAM1_HUMAN	5.15e-06	4684	11	112961247	113278436	+
NCBP1	Q09161	Nuclear cap-binding protein subunit 1	NCBP1_HUMAN	1.99e-11	4686	9	97633423	97673748	+
NCBP2	P52298	Nuclear cap-binding protein subunit 2	NCBP2_HUMAN	8.05e-06	22916	3	196935402	196942593	-
NCCRP1	Q6ZVX7	F-box only protein 50	FBX50_HUMAN	8.02e-08	342897	19	39196964	39201882	+
NCDN	Q9UBB6	Neurochondrin	NCDN_HUMAN	0.000223935	23154	1	35557792	35566779	+
NCEH1	Q6PIU2	Neutral cholesterol ester hydrolase 1	NCEH1_HUMAN	1.59e-09	57552	3	172630645	172711218	-
NCF1B;NCF1	A6NI72;P14598	Putative neutrophil cytosol factor 1B;Neutrophil cytosol factor 1	NCF1B_HUMAN;NCF1_HUMAN	3.89e-20					
NCF2	P19878	Neutrophil cytosol factor 2	NCF2_HUMAN	1.82e-19	4688	1	183555562	183590921	-
NCF4	Q15080	Neutrophil cytosol factor 4	NCF4_HUMAN	7.26e-10	4689	22	36860988	36878017	+
NCK1	P16333	Cytoplasmic protein NCK1	NCK1_HUMAN	6.04e-11	4690	3	136862208	136951610	+
NCK2	O43639	Cytoplasmic protein NCK2	NCK2_HUMAN	6.45e-05	8440	2	105744942	105894274	+
NCKAP1	Q9Y2A7	Nck-associated protein 1	NCKP1_HUMAN	3.85e-23	10787	2	182924851	183038858	-
NCKAP1L	P55160	Nck-associated protein 1-like	NCKPL_HUMAN	1.68e-05	3071	12	54497711	54543115	+
NCKIPSD	Q9NZQ3	NCK-interacting protein with SH3 domain	SPN90_HUMAN	2.1e-05	51517	3	48673839	48685933	-
NCL	P19338	Nucleolin	NUCL_HUMAN	1.32e-13	4691	2	231454748	231464494	-
NCLN	Q969V3	Nicalin	NCLN_HUMAN	2.46e-16	56926	19	3185877	3209575	+
NCOA5	Q9HCD5	Nuclear receptor coactivator 5	NCOA5_HUMAN	8.4e-06	57727	20	46060985	46089952	-
NCOA7	Q8NI08	Nuclear receptor coactivator 7	NCOA7_HUMAN	0.000232023	135112	6	125781131	125932030	+
NCOR1	O75376	Nuclear receptor corepressor 1	NCOR1_HUMAN	0.000400697	9611	17	16030094	16216746	-
NCS1	P62166	Neuronal calcium sensor 1	NCS1_HUMAN	0.00020245	23413	9	130172578	130237304	+
NCSTN	Q92542	Nicastrin	NICA_HUMAN	2.07e-08	23385	1	160343273	160358952	+
NDE1	Q9NXR1	Nuclear distribution protein nudE homolog 1	NDE1_HUMAN	0.000137897	54820	16	15643267	15726353	+
NDRG1	Q92597	Protein NDRG1	NDRG1_HUMAN	2.88e-22	10397	8	133237171	133297587	-
NDRG2	Q9UN36	Protein NDRG2	NDRG2_HUMAN	1.8e-11	57447	14	21016763	21070872	-
NDRG3	Q9UGV2	Protein NDRG3	NDRG3_HUMAN	1.04e-05	57446	20	36651766	36746138	-
NDUFA10	O95299	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial"	NDUAA_HUMAN	6.05e-16	4705	2	239957372	240025402	-
NDUFA11	Q86Y39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	NDUAB_HUMAN	6.15e-13	126328	19	5891276	5904013	-
NDUFA12	Q9UI09	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	NDUAC_HUMAN	1.54e-12	55967	12	94971328	95003713	-
NDUFA13	Q9P0J0	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	NDUAD_HUMAN	1.14e-10	51079	19	19516210	19528204	+
NDUFA2	O43678	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	NDUA2_HUMAN	7.99e-07	4695	5	140645363	140647785	-
NDUFA3	O95167	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	NDUA3_HUMAN	0.003841342	4696	19	54102852	54106974	+
NDUFA4	O00483	Cytochrome c oxidase subunit NDUFA4	NDUA4_HUMAN	1.32e-10	4697	7	10931953	10940186	-
NDUFA4L2	Q9NRX3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2	NUA4L_HUMAN	8.3e-06	56901	12	57234903	57240762	-
NDUFA5	Q16718	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	NDUA5_HUMAN	1.25e-07	4698	7	123536997	123601651	-
NDUFA6	P56556	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	NDUA6_HUMAN	1.99e-08	4700	22	42085526	42090884	-
NDUFA7	O95182	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	NDUA7_HUMAN	2.5e-10	4701	19	8308762	8321396	-
NDUFA8	P51970	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	NDUA8_HUMAN	5.24e-14	4702	9	122132466	122159819	-
NDUFA9	Q16795	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial"	NDUA9_HUMAN	5.51e-14	4704	12	4649098	4687554	+
NDUFAB1	O14561	"Acyl carrier protein, mitochondrial"	ACPM_HUMAN	9.59e-11	4706	16	23581014	23596341	-
NDUFAF2	Q8N183	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2	NDUF2_HUMAN	3.29e-05	91942	5	60945129	61153037	+
NDUFAF3	Q9BU61	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	NDUF3_HUMAN	2.31e-08	25915	3	49020475	49023495	+
NDUFAF4	Q9P032	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	NDUF4_HUMAN	2.36e-09	29078	6	96889311	96897891	-
NDUFAF5	Q5TEU4	"Arginine-hydroxylase NDUFAF5, mitochondrial"	NDUF5_HUMAN	0.006718938	79133	20	13785026	13818421	+
NDUFAF7	Q7L592	"Protein arginine methyltransferase NDUFAF7, mitochondrial"	NDUF7_HUMAN	9.94e-05	55471	2	37231631	37249160	+
NDUFB1	O75438	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	NDUB1_HUMAN	4e-11	4707	14	92116123	92121809	-
NDUFB10	O96000	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	NDUBA_HUMAN	8.53e-13	4716	16	1959516	1961975	+
NDUFB11	Q9NX14	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial"	NDUBB_HUMAN	5.35e-07	54539	X	47142216	47145210	-
NDUFB3	O43676	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	NDUB3_HUMAN	8.63e-07	4709	2	201071739	201085750	+
NDUFB4	O95168	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	NDUB4_HUMAN	6.38e-15	4710	3	120596281	120602411	+
NDUFB5	O43674	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial"	NDUB5_HUMAN	1.05e-11	4711	3	179604787	179624500	+
NDUFB6	O95139	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6	NDUB6_HUMAN	1.64e-05	4712	9	32553526	32573184	-
NDUFB8	O95169	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial"	NDUB8_HUMAN	6.41e-13	4714	10	100523729	100529923	-
NDUFB9	Q9Y6M9	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9	NDUB9_HUMAN	1.44e-14	4715	8	124539102	124549986	+
NDUFC2	O95298	NADH dehydrogenase [ubiquinone] 1 subunit C2	NDUC2_HUMAN	1.08e-10	4718	11	78068347	78080219	-
NDUFS1	P28331	"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial"	NDUS1_HUMAN	1.01e-15	4719	2	206123079	206159519	-
NDUFS2	O75306	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial"	NDUS2_HUMAN	2.27e-14	4720	1	161197419	161214395	+
NDUFS3	O75489	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial"	NDUS3_HUMAN	2.24e-21	4722	11	47579010	47584563	+
NDUFS4	O43181	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial"	NDUS4_HUMAN	1.15e-14	4724	5	53560623	53683341	+
NDUFS5	O43920	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	NDUS5_HUMAN	1.79e-21	4725	1	39026295	39034636	+
NDUFS7	O75251	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial"	NDUS7_HUMAN	1.64e-09	374291	19	1383884	1395589	+
NDUFS8	O00217	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"	NDUS8_HUMAN	4.97e-09	4728	11	68030617	68036647	+
NDUFV1	P49821	"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"	NDUV1_HUMAN	3.79e-23	4723	11	67606852	67612541	+
NDUFV2	P19404	"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"	NDUV2_HUMAN	9.82e-07	4729	18	9102630	9134345	+
NEBL	O76041	Nebulette	NEBL_HUMAN	0.000358772	10529	10	20779971	21174187	-
NECAP2	Q9NVZ3	Adaptin ear-binding coat-associated protein 2	NECP2_HUMAN	2.68e-22	55707	1	16440672	16460090	+
NECTIN1	Q15223	Nectin-1	NECT1_HUMAN	1.7e-15					
NECTIN2	Q92692	Nectin-2	NECT2_HUMAN	0.000451882					
NECTIN4	Q96NY8	Nectin-4	NECT4_HUMAN	1.21e-09					
NEDD4	P46934	E3 ubiquitin-protein ligase NEDD4	NEDD4_HUMAN	8.76e-05	4734	15	55826917	55993746	-
NEDD4L	Q96PU5	E3 ubiquitin-protein ligase NEDD4-like	NED4L_HUMAN	1.34e-05	23327	18	58044233	58401541	+
NEFH	P12036	Neurofilament heavy polypeptide	NFH_HUMAN	0.000921792	4744	22	29480192	29491290	+
NEFL	P07196	Neurofilament light polypeptide	NFL_HUMAN	7.02e-05	4747	8	24950955	24956869	-
NEFM	P07197	Neurofilament medium polypeptide	NFM_HUMAN	0.000370855	4741	8	24913761	24919093	+
NEGR1	Q7Z3B1	Neuronal growth regulator 1	NEGR1_HUMAN	5.82e-15	257194	1	71402942	72282847	-
NEK7	Q8TDX7	Serine/threonine-protein kinase Nek7	NEK7_HUMAN	7.24e-06	140609	1	198156978	198322420	+
NEK9	Q8TD19	Serine/threonine-protein kinase Nek9	NEK9_HUMAN	2.02e-14	91754	14	75082115	75127075	-
NELFA	Q9H3P2	Negative elongation factor A	NELFA_HUMAN	1.98e-08	7469	4	1982714	2041914	-
NELFB	Q8WX92	Negative elongation factor B	NELFB_HUMAN	4.75e-05	25920	9	137255307	137273548	+
NELFCD	Q8IXH7	Negative elongation factor C/D	NELFD_HUMAN	8.71e-12	51497	20	58981208	58995134	+
NELFE	P18615	Negative elongation factor E	NELFE_HUMAN	2.53e-06	7936	6	31952087	31959087	-
NEMF	O60524	Ribosome quality control complex subunit NEMF	NEMF_HUMAN	0.000405675	9147	14	49783278	49853073	-
NENF	Q9UMX5	Neudesin	NENF_HUMAN	3.79e-23	29937	1	212432887	212446379	+
NES	P48681	Nestin	NEST_HUMAN	3.79e-23	10763	1	156668763	156677397	-
NEU1	Q99519	Sialidase-1	NEUR1_HUMAN	4.96e-05	4758	6	31859052	31862932	-
NEU2	Q9Y3R4	Sialidase-2	NEUR2_HUMAN	6.71e-06	4759	2	233023056	233035532	+
NEXN	Q0ZGT2	Nexilin	NEXN_HUMAN	7.29e-20	91624	1	77888515	77948643	+
NF1	P21359	Neurofibromin	NF1_HUMAN	0.000432316	4763	17	31007873	31377677	+
NF2	P35240	Merlin	MERL_HUMAN	0.00521467	4771	22	29603556	29698600	+
NFASC	O94856	Neurofascin	NFASC_HUMAN	0.002206238	23114	1	204828654	205022822	+
NFATC1	O95644	"Nuclear factor of activated T-cells, cytoplasmic 1"	NFAC1_HUMAN	0.000163431	4772	18	79395772	79529323	+
NFIB	O00712	Nuclear factor 1 B-type	NFIB_HUMAN	2.09e-09	4781	9	14081843	14398983	-
NFIC	P08651	Nuclear factor 1 C-type	NFIC_HUMAN	9.17e-08	4782	19	3359563	3469217	+
NFIX	Q14938	Nuclear factor 1 X-type	NFIX_HUMAN	3.79e-23	4784	19	12995756	13098796	+
NFKB1	P19838	Nuclear factor NF-kappa-B p105 subunit	NFKB1_HUMAN	1.77e-07	4790	4	102501329	102617302	+
NFKB2	Q00653	Nuclear factor NF-kappa-B p100 subunit	NFKB2_HUMAN	4.32e-05	4791	10	102394110	102402529	+
NFS1	Q9Y697	"Cysteine desulfurase, mitochondrial"	NFS1_HUMAN	1.17e-06	9054	20	35668688	35699365	-
NFU1	Q9UMS0	"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"	NFU1_HUMAN	0.001040397	27247	2	69396113	69437628	-
NFYB	P25208	Nuclear transcription factor Y subunit beta	NFYB_HUMAN	0.000160154	4801	12	104117080	104138262	-
NFYC	Q13952	Nuclear transcription factor Y subunit gamma	NFYC_HUMAN	0.000204046	4802	1	40691570	40771603	+
NGEF	Q8N5V2	Ephexin-1	NGEF_HUMAN	0.00039732	25791	2	232878686	233013241	-
NHLRC2	Q8NBF2	NHL repeat-containing protein 2	NHLC2_HUMAN	6.31e-18	374354	10	113854632	113912506	+
NHLRC3	Q5JS37	NHL repeat-containing protein 3	NHLC3_HUMAN	0.000177206	387921	13	39038311	39050109	+
NHP2	Q9NX24	H/ACA ribonucleoprotein complex subunit 2	NHP2_HUMAN	1.39e-13	55651	5	178149463	178153960	-
NHSL1	Q5SYE7	NHS-like protein 1	NHSL1_HUMAN	0.000359301	57224	6	138422043	138692616	-
NIBAN1	Q9BZQ8	Protein Niban 1	NIBA1_HUMAN	4.36e-22					
NIBAN2	Q96TA1	Protein Niban 2	NIBA2_HUMAN	7.52e-22					
NID1	P14543	Nidogen-1	NID1_HUMAN	3.98e-22	4811	1	235975830	236065181	-
NID2	Q14112	Nidogen-2	NID2_HUMAN	3.79e-23	22795	14	52004802	52069231	-
NIF3L1	Q9GZT8	NIF3-like protein 1	NIF3L_HUMAN	3.3e-18	60491	2	200889327	200903932	+
NIFK	Q9BYG3	MKI67 FHA domain-interacting nucleolar phosphoprotein	MK67I_HUMAN	3.56e-08	84365	2	121726945	121736927	-
NIP7	Q9Y221	60S ribosome subunit biogenesis protein NIP7 homolog	NIP7_HUMAN	7.07e-06	51388	16	69339512	69343111	+
NIPAL4	Q0D2K0	Magnesium transporter NIPA4	NIPA4_HUMAN	0.000130475	348938	5	157460019	157474722	+
NIPBL	Q6KC79	Nipped-B-like protein	NIPBL_HUMAN	0.000158947	25836	5	36876759	37065819	+
NIPSNAP1	Q9BPW8	Protein NipSnap homolog 1	NIPS1_HUMAN	0.000155017	8508	22	29554808	29581337	-
NIPSNAP2	O75323	Protein NipSnap homolog 2	NIPS2_HUMAN	5.44e-15					
NIPSNAP3A	Q9UFN0	Protein NipSnap homolog 3A	NPS3A_HUMAN	2.96e-16	25934	9	104747688	104760122	+
NIPSNAP3B	Q9BS92	Protein NipSnap homolog 3B	NPS3B_HUMAN	0.000132286	55335	9	104763741	104777764	+
NISCH	Q9Y2I1	Nischarin	NISCH_HUMAN	6.42e-08	11188	3	52455508	52493072	+
NIT1	Q86X76	Deaminated glutathione amidase	NIT1_HUMAN	1.28e-19	4817	1	161118072	161125445	+
NIT2	Q9NQR4	Omega-amidase NIT2	NIT2_HUMAN	2.19e-16	56954	3	100334718	100355634	+
NKIRAS2	Q9NYR9	NF-kappa-B inhibitor-interacting Ras-like protein 2	KBRS2_HUMAN	0.000137719	28511	17	42017561	42025641	+
NLE1	Q9NVX2	Notchless protein homolog 1	NLE1_HUMAN	4.5e-14	54475	17	35131322	35142315	-
NLN	Q9BYT8	"Neurolysin, mitochondrial"	NEUL_HUMAN	6.16e-08	57486	5	65722196	65829283	+
NLRP10	Q86W26	"NACHT, LRR and PYD domains-containing protein 10"	NAL10_HUMAN	3.13e-05	338322	11	7959023	7965424	-
NLRP7;NLRP2	Q8WX94;Q9NX02	"NACHT, LRR and PYD domains-containing protein 7;NACHT, LRR and PYD domains-containing protein 2"	NALP7_HUMAN;NALP2_HUMAN	0.002377114					
NLRX1	Q86UT6	NLR family member X1	NLRX1_HUMAN	1.12e-19	79671	11	119168334	119184016	+
NMD3	Q96D46	60S ribosomal export protein NMD3	NMD3_HUMAN	0.008963991	51068	3	161221262	161252294	+
NME1	P15531	Nucleoside diphosphate kinase A	NDKA_HUMAN	2.7e-16	4830	17	51153559	51162089	+
NME2P1	O60361	Putative nucleoside diphosphate kinase	NDK8_HUMAN	1.94e-10					
NME3	Q13232	Nucleoside diphosphate kinase 3	NDK3_HUMAN	5.95e-06	4832	16	1770320	1771758	-
NME7	Q9Y5B8	Nucleoside diphosphate kinase 7	NDK7_HUMAN	8.81e-05	29922	1	169131998	169367963	-
NMES1	Q9C002	Normal mucosa of esophagus-specific gene 1 protein	NMES1_HUMAN	1.29e-05					
NMI	Q13287	N-myc-interactor	NMI_HUMAN	0.000652483	9111	2	151270465	151289916	-
NMNAT1	Q9HAN9	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1	NMNA1_HUMAN	2.53e-07	64802	1	9942923	9985501	+
NMNAT3	Q96T66	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3	NMNA3_HUMAN	7.64e-07	349565	3	139560180	139678043	-
NMRAL1	Q9HBL8	NmrA-like family domain-containing protein 1	NMRL1_HUMAN	1.06e-05	57407	16	4461689	4474895	-
NMT1	P30419	Glycylpeptide N-tetradecanoyltransferase 1	NMT1_HUMAN	9.07e-09	4836	17	45061283	45109016	+
NNMT	P40261	Nicotinamide N-methyltransferase	NNMT_HUMAN	2.67e-11	4837	11	114295813	114312516	+
NNT	Q13423	"NAD(P) transhydrogenase, mitochondrial"	NNTM_HUMAN	3.79e-23	23530	5	43602689	43705566	+
NOA1	Q8NC60	Nitric oxide-associated protein 1	NOA1_HUMAN	0.00833834	84273	4	56963350	56977660	-
NOB1	Q9ULX3	RNA-binding protein NOB1	NOB1_HUMAN	0.000278978	28987	16	69741854	69754968	-
NOC2L	Q9Y3T9	Nucleolar complex protein 2 homolog	NOC2L_HUMAN	7.73e-05	26155	1	944203	959299	-
NOC3L	Q8WTT2	Nucleolar complex protein 3 homolog	NOC3L_HUMAN	0.001216742	64318	10	94314907	94362976	-
NOC4L	Q9BVI4	Nucleolar complex protein 4 homolog	NOC4L_HUMAN	8.87e-11	79050	12	132144422	132152473	+
NOL11	Q9H8H0	Nucleolar protein 11	NOL11_HUMAN	0.001192377	25926	17	67717833	67744208	+
NOL3	O60936	Nucleolar protein 3	NOL3_HUMAN	7.6e-09	8996	16	67170497	67175737	+
NOL6	Q9H6R4	Nucleolar protein 6	NOL6_HUMAN	0.003035518	65083	9	33461353	33473943	-
NOL9	Q5SY16	Polynucleotide 5'-hydroxyl-kinase NOL9	NOL9_HUMAN	0.009866109	79707	1	6521347	6554598	-
NOMO3;NOMO2	P69849;Q5JPE7	Nodal modulator 3;Nodal modulator 2	NOMO3_HUMAN;NOMO2_HUMAN	5.79e-19					
NONO	Q15233	Non-POU domain-containing octamer-binding protein	NONO_HUMAN	8.1e-17	4841	X	71283192	71301168	+
NOP10	Q9NPE3	H/ACA ribonucleoprotein complex subunit 3	NOP10_HUMAN	3.79e-23	55505	15	34341716	34343161	-
NOP14	P78316	Nucleolar protein 14	NOP14_HUMAN	0.000487441	8602	4	2937936	2963506	-
NOP2	P46087	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase	NOP2_HUMAN	8.97e-15	4839	12	6556870	6568332	-
NOP56	O00567	Nucleolar protein 56	NOP56_HUMAN	5.61e-15	10528	20	2652532	2658393	+
NOP58	Q9Y2X3	Nucleolar protein 58	NOP58_HUMAN	2.53e-17	51602	2	202265792	202303661	+
NOP9	Q86U38	Nucleolar protein 9	NOP9_HUMAN	0.000359744	161424	14	24299854	24309126	+
NOS3	P29474	"Nitric oxide synthase, endothelial"	NOS3_HUMAN	0.000381301	4846	7	150991056	151014599	+
NOSIP	Q9Y314	Nitric oxide synthase-interacting protein	NOSIP_HUMAN	0.006007922	51070	19	49555468	49580601	-
NOSTRIN	Q8IVI9	Nostrin	NOSTN_HUMAN	0.00415402	115677	2	168786539	168865339	+
NOTCH1	P46531	Neurogenic locus notch homolog protein 1	NOTC1_HUMAN	5.37e-05	4851	9	136494444	136545786	-
NOTCH2	Q04721	Neurogenic locus notch homolog protein 2	NOTC2_HUMAN	0.000151194	4853	1	119911553	120069703	-
NOTCH3	Q9UM47	Neurogenic locus notch homolog protein 3	NOTC3_HUMAN	0.00083021	4854	19	15159633	15200981	-
NPC1	O15118	NPC intracellular cholesterol transporter 1	NPC1_HUMAN	4.4e-12	4864	18	23506184	23586617	-
NPC2	P61916	NPC intracellular cholesterol transporter 2	NPC2_HUMAN	1.75e-07	10577	14	74479940	74493381	-
NPEPL1	Q8NDH3	Probable aminopeptidase NPEPL1	PEPL1_HUMAN	7.12e-12	79716	20	58689131	58715844	+
NPEPPS	P55786	Puromycin-sensitive aminopeptidase	PSA_HUMAN	3.79e-23	9520	17	47522950	47623276	+
NPL	Q9BXD5	N-acetylneuraminate lyase	NPL_HUMAN	0.000412733	80896	1	182789449	182830384	+
NPLOC4	Q8TAT6	Nuclear protein localization protein 4 homolog	NPL4_HUMAN	1.72e-06	55666	17	81556885	81637153	-
NPM1	P06748	Nucleophosmin	NPM_HUMAN	3.79e-23	4869	5	171387648	171410884	+
NPTN	Q9Y639	Neuroplastin	NPTN_HUMAN	2.07e-07	27020	15	73560003	73633412	-
NQO1	P15559	NAD(P)H dehydrogenase [quinone] 1	NQO1_HUMAN	0.000298183	1728	16	69709401	69726668	-
NQO2	P16083	Ribosyldihydronicotinamide dehydrogenase [quinone]	NQO2_HUMAN	5.06e-16	4835	6	2988640	3019876	+
NR2C2	P49116	Nuclear receptor subfamily 2 group C member 2	NR2C2_HUMAN	3.18e-05	7182	3	14947584	15049279	+
NR3C1	P04150	Glucocorticoid receptor	GCR_HUMAN	1.11e-09	2908	5	143277931	143435512	-
NRAS	P01111	GTPase NRas	RASN_HUMAN	1.03e-14	4893	1	114704464	114716894	-
NRBF2	Q96F24	Nuclear receptor-binding factor 2	NRBF2_HUMAN	0.005779947	29982	10	63133247	63155031	+
NRBP1	Q9UHY1	Nuclear receptor-binding protein	NRBP_HUMAN	6.54e-10	29959	2	27428606	27442259	+
NRDC	O43847	Nardilysin	NRDC_HUMAN	3.79e-23					
NRF1	Q16656	Nuclear respiratory factor 1	NRF1_HUMAN	5.15e-13	4899	7	129611702	129757082	+
NRM	Q8IXM6	Nurim	NRM_HUMAN	9.91e-05	11270	6	30688047	30691420	-
NRP1	O14786	Neuropilin-1	NRP1_HUMAN	2.14e-16	8829	10	33177491	33334905	-
NRP2	O60462	Neuropilin-2	NRP2_HUMAN	0.000361543	8828	2	205682449	205798133	+
NSDHL	Q15738	"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating"	NSDHL_HUMAN	9e-05	50814	X	152830967	152869363	+
NSF	P46459	Vesicle-fusing ATPase	NSF_HUMAN	1.23e-21	4905	17	46590669	46757464	+
NSFL1C	Q9UNZ2	NSFL1 cofactor p47	NSF1C_HUMAN	4.6e-17	55968	20	1442162	1467720	-
NSMCE1	Q8WV22	Non-structural maintenance of chromosomes element 1 homolog	NSE1_HUMAN	0.001500779	197370	16	27224994	27268809	-
NSMCE3	Q96MG7	Non-structural maintenance of chromosomes element 3 homolog	NSE3_HUMAN	0.003915773					
NSUN2	Q08J23	RNA cytosine C(5)-methyltransferase NSUN2	NSUN2_HUMAN	3.87e-10	54888	5	6599239	6633360	-
NT5C	Q8TCD5	"5'(3')-deoxyribonucleotidase, cytosolic type"	NT5C_HUMAN	4.97e-15	30833	17	75130225	75131795	-
NT5C2	P49902	Cytosolic purine 5'-nucleotidase	5NTC_HUMAN	1.43e-08	22978	10	103088017	103193306	-
NT5C3A	Q9H0P0	Cytosolic 5'-nucleotidase 3A	5NT3A_HUMAN	3.79e-23	51251	7	33014113	33062797	-
NT5DC1	Q5TFE4	5'-nucleotidase domain-containing protein 1	NT5D1_HUMAN	7.31e-10	221294	6	116100823	116245690	+
NT5DC2	Q9H857	5'-nucleotidase domain-containing protein 2	NT5D2_HUMAN	0.000562283	64943	3	52524369	52535077	-
NT5E	P21589	5'-nucleotidase	5NTD_HUMAN	4.62e-15	4907	6	85449584	85495791	+
NTAN1	Q96AB6	Protein N-terminal asparagine amidohydrolase	NTAN1_HUMAN	4.33e-05	123803	16	15037853	15056079	-
NTHL1	P78549	Endonuclease III-like protein 1	NTH_HUMAN	6.36e-05	4913	16	2039815	2047866	-
NTM	Q9P121	Neurotrimin	NTRI_HUMAN	0.006088692	50863	11	131370361	132336822	+
NTN1	O95631	Netrin-1	NET1_HUMAN	0.000671951	9423	17	9021542	9244000	+
NTN4	Q9HB63	Netrin-4	NET4_HUMAN	0.00716723	59277	12	95657807	95790787	-
NTPCR	Q9BSD7	Cancer-related nucleoside-triphosphatase	NTPCR_HUMAN	8.6e-12	84284	1	232950536	232978799	+
NUB1	Q9Y5A7	NEDD8 ultimate buster 1	NUB1_HUMAN	9.65e-05	51667	7	151341699	151378461	+
NUBP1	P53384	Cytosolic Fe-S cluster assembly factor NUBP1	NUBP1_HUMAN	3.64e-09	4682	16	10743321	10769351	+
NUBP2	Q9Y5Y2	Cytosolic Fe-S cluster assembly factor NUBP2	NUBP2_HUMAN	0.004667918	10101	16	1782923	1789191	+
NUCB1	Q02818	Nucleobindin-1	NUCB1_HUMAN	8.66e-15	4924	19	48900050	48923283	+
NUCB2	P80303	Nucleobindin-2	NUCB2_HUMAN	3.03e-16	4925	11	17260337	17349980	+
NUCKS1	Q9H1E3	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	NUCKS_HUMAN	0.001000887	64710	1	205712819	205750244	-
NUDC	Q9Y266	Nuclear migration protein nudC	NUDC_HUMAN	3.79e-23	10726	1	26911128	26946871	+
NUDCD1	Q96RS6	NudC domain-containing protein 1	NUDC1_HUMAN	3.66e-07	84955	8	109240919	109334121	-
NUDCD2	Q8WVJ2	NudC domain-containing protein 2	NUDC2_HUMAN	0.000873703	134492	5	163453488	163460137	-
NUDCD3	Q8IVD9	NudC domain-containing protein 3	NUDC3_HUMAN	3.52e-09	23386	7	44382366	44490878	-
NUDT1	P36639	Oxidized purine nucleoside triphosphate hydrolase	8ODP_HUMAN	6.71e-07	4521	7	2242222	2251145	+
NUDT12	Q9BQG2	NAD-capped RNA hydrolase NUDT12	NUD12_HUMAN	0.003272618	83594	5	103548855	103562804	-
NUDT14	O95848	Uridine diphosphate glucose pyrophosphatase NUDT14	NUD14_HUMAN	0.001738217	256281	14	105172937	105181323	-
NUDT15	Q9NV35	Nucleotide triphosphate diphosphatase NUDT15	NUD15_HUMAN	0.000718401	55270	13	48037567	48047222	+
NUDT16	Q96DE0	U8 snoRNA-decapping enzyme	NUD16_HUMAN	7.25e-06	131870	3	131381671	131388830	+
NUDT16L1	Q9BRJ7	Tudor-interacting repair regulator protein	TIRR_HUMAN	3.53e-06	84309	16	4693558	4695859	+
NUDT18	Q6ZVK8	8-oxo-dGDP phosphatase NUDT18	NUD18_HUMAN	0.009916554	79873	8	22106872	22110355	-
NUDT19	A8MXV4	Acyl-coenzyme A diphosphatase NUDT19	NUD19_HUMAN	0.000154355	390916	19	32666296	32713796	+
